keyword,aliases,replies
不会真有人,不会吧不会吧,不会吧不会吧不会吧？;不会个锤子不会吧;会也不会，不会也会。;不会吧？别恶心我嗷。
不就是,难道不是,都让你懂完了是吧？
吴京,战狼,我爱国无罪;爱慕拆腻子;我就是怼这个，我就怼。;贱不贱啊真的太贱了这个;看不惯别看，去看美国人的片子去。;犯我中华者虽远必诛！
韩金龙,大司马,这波啊，这波是肉蛋葱鸡;鬼刀一开看不见，走位，走位。;拖，就硬拖。;你皮任你皮，把你当瓜皮。;哎我黑切呢？
Biden,拜登;登子;白等,警惕拜登打扑克牌;警惕拜登打游戏王卡牌;警惕拜登打三国杀牌;警惕拜登打桥牌
Trump,川普;特朗普;川总,我会在南方边境造一个很大很大的墙，我还要让墨西哥出钱。;Together we will make America great again!;You are fired!;如果伊凡卡不是我的女儿，那我可能在跟她约会了。;他们攻击我长相实在是太难了，毕竟我长得这么帅。;如果你必须得吃伟哥，那很可能你选错了女人。;美国梦已经死了。如果我当上总统，我会让美国梦复苏，比之前的梦更大，比之前的梦更美丽。
江泽民,蛤;长者;🐸,你们有一个好，全世界跑到什么地方，你们比其他的西方记者跑得还快。;问来问去的问题呀，都too simple，sometimes naive;识得唔识得啊？;比你们不知道高到哪里去了，我跟他谈笑风生。;中国有句话叫闷声大发财……但是我见到你们这样热情，一句话不说也不好。;我要说资瓷，你们又说钦定了，再把我批判一番。;我没有说过要钦定，没有任何这个意思。;我今天是作为一个长者给你们讲的，我不是新闻工作者，但是我见得太多了，我有这个必要告诉你们一点人生的经验。;天若有情天亦老，我为长者续一秒。;无中生有的东西，你再帮他说一遍，等于你也有责任吧？;支持不支持，我是支持的。我就明确地给你告诉这一点。;我是身经百战了，见得多了！啊，西方的哪一个国家我没去过？;I'm angry! 我跟你讲啊，你们这样子啊，是不行的，我今天算是得罪了你们一下！
赌狗,赌博;赌球;戒赌,三五瓶，逼两拳，老哥还会军体拳。;留卡号，心意钱，打多打少是个缘。;秀刀疤，吃牢饭，抽喝嫖赌全都干。;跳五楼，摔不死，坏了神经美滋滋。;跑沙县，蹭网咖，稳如赌狗进戒吧。;撸小贷，支付宝，老哥稳如坟头草。;我借钱，靠实力，借来哪有还钱理
操你妈,日你妈;你妈逼,傻逼傻逼操你妈，你妈大逼人人插，左插插那么右插插，插的你妈逼开花，你妈大逼鞋有血，操你妈了个逼濑嘢，你妈大逼转又转，操你妈了个逼来犯，整形师我来操你妈，你妈大逼人人插，插得你妈直开花，我来操你妈我来操你妈！
东百,瑞典;北欧,我寻思这没人要了捏;小伙子你就摇了我吧;你瞅啥？;瞅你咋滴？来东北信不信我削你
猴,猿;原始人,在参观甑皮岩古人类头像时，小平说：「有点像广西佬。」
yyds,yygq;xswl;pyq;yysy;u1s1;y1s1;yjgj;srds;nmsl,能不能不要老发缩写啊，我们老年人只看得懂NMSL。;这下汉字拉丁化成功了;什么饭圈缩写，看不懂。;yyds yygq xswl u1s1 yjgj srds nmsl
64,1989,我爱北京天安门，天安门上太阳升。;稍有常识的人都会看出，如果我们的铁骑继续前进，这个螳臂挡车的歹徒，难道能够阻挡得了吗？