name,code
南非荷兰语,af
斐语,af
阿姆哈拉语,am
阿拉伯语,ar
阿塞拜疆语,az
保加利亚语,bg
孟加拉语,bn
波斯尼亚语,bs
加泰罗尼亚语,ca
加泰语,ca
捷克语,cs
威尔士语,cy
丹麦语,da
德语,de
希腊语,el
英语,en
西班牙语,es
爱沙尼亚语,et
波斯语,fa
芬兰语,fi
法语,fr
爱尔兰语,ga
古吉拉特语,gu-IN
希伯来语,he
印地语,hi-IN
克罗地亚语,hr
匈牙利语,hu
意大利语,it
日语,ja
日语,ja
红色高棉语,km
卡纳塔克语,kn-IN
韩语,ko
库尔德语,ku
老挝语,lo
立陶宛语,lt
拉脱维亚语,lv
马其顿语,mk
马拉亚拉姆语,ml
蒙古语,mn
马拉地语,mr-IN
马来语,ms
挪威博克马尔语,nb
尼泊尔语,ne
荷兰语,nl
奥里亚语,or
旁遮普语,pa-IN
波兰语,pl
葡萄牙语,pt
罗马尼亚语,ro
俄语,ru
斯洛伐克语,sk
斯洛文尼亚语,sl
阿尔巴尼亚语,sq
塞尔维亚语,sr-CS
瑞典语,sv
斯瓦希里语,sw
泰米尔语,ta-IN
泰卢固语（印度）,te-IN
泰语,th
蒂格里亚语（厄立特里亚）,ti-ER
土耳其语,tr
乌克兰语,uk
乌尔都语（印度）,ur-IN
越南语,vi
中文,zh-Hans
汉语,zh-Hans
漢語,zh-Hans
繁体,zh-Hant
繁體,zh-Hant
正體,zh-Hant